NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
CHICK TONIC|MULTIVITAMINS|INDUSTRIAL VETERINARIA S.A INVERSA C/ESMERALDA, 19, 08950 ESPLUGUES DE LIOBREGAT, SPAIN|04-5233
COLIPRIM|TRIMETHOPRIM 80MG/ML SULPHADIAZINE SODIUM 400MG/ML|ARAB VETERINARY INDUSTRIAL CO. (AVICO) P. O. BOX 150906 AMMAN 11115, JORDAN|04-5225
FASCIONIX 34% INJECTION|NITROXINIL 340MG|KEPRO B. V. BERNEVELD HOLLAND|04-5229
LOVIT VTA WATER SOLUBLE PRIMIXTURE|MULTIVITAMINS AND AMINO ACIDS|LOHMAM ANIMAL HEALTH GMBH AND CO. KG, HEINZ-LOHMANN - STR 4 27472 CUXHAVEN GERMANY|04-5230
SULFAQUINE|SULPHAQUINOXALINE SODIUM 250MG|ARAB VETERINARY INDUSTRIAL CO. (AVICO) P. O. BOX 150906 AMMAN 11115, JORDAN|04-5222
VERIDIUM 
POWDER|ISOMETAMIDIUM CHLORIDE 1G|CEVA SANTE ANIMALE LA BALLASTIERE- 33501 LIBOURNE CEDEX, FRANCE.|04-5232
VITAPOWER INJECTION|MULTIVITAMINS|EAGLE CHEMICAL LTD, 256-46 DEGOK-RI, SHINAM-MYUN, YESAN-KUN, CHUNGCHONGNAM-DO, KOREA|04-5226
ALBENDA BOLUS|ALBENDAZOLE- 300MG|EAGLE CHEMICALS CO.LTD 256- 46, SHINIM-MYUN, YESAN-KUN,  CHUNGEHENGHAMDO, KOREA|04-5144
ALBIDOL-600 BOLUS|ALBENDAZOLE 600MG|CONCEPT PHARM LTD, A28/3 MIDC CHIKAITHANA, AURANGUBAD 431210 INDIA|04-5228
ZINAPRIM|TRIMETHOPRIM 40MG, SULPHAMETHAZINE 200MG|INDUSTRIAL VETERINARIA S.A INVERSA C/ESMERALDA, 19, 08950 ESPLUGUES DE LIOBREGAT, SPAIN|04-5234
ALBENDAZOLE 'AVICO' SUSPENSION|ALBENDAZOLE 25MG/ML|ARAB VETERINARY INDUSTRIAL CO. (AVICO) P. O. BOX 150906 AMMAN 11115, JORDAN|04-5224
ACTELLIC|PRIMIPHOSMETHYL-250G/L|SYNGENTA CROP PROTECTION AG BASLE, SWITZERLAND|04-5154
AVICYCLINE 20% L.A. INJECTION|OXYTETRACYLCLINE DIHYDRATE 200MG/ML|ARAB VETERINARY INDUSTRIAL CO. (AVICO) P. O. BOX 150906 AMMAN 11115, JORDAN|04-5220
GENTADOX  W.S.P|GENTAMYCIN SULPHATE 160MG, DOXYCYCLINE HCL 100MG|ARAB VETERINARY INDUSTRIAL CO. (AVICO) P. O. BOX 150906 AMMAN 11115, JORDAN|04-5221
NEW ADVANCE ODOMOS MOSQUITO REPELLANT CREAM|N.N- DIETHYL BENZAMIDE 12% W/W|BALSARA HOME PRODUCTS LTD PLOT 239/672,KALPI ROAD VILLAGE-UMRAN (FORMERLY RAUN HOUSEHOLD CARE PRODUCTS PVT. LTD. PLOT 239/672, KALPI RD. VILLAGE-UMRAN, POST-BARA, TEHSIL AKABARPUR DISTRICT, KANPUR DEHAT (U.P)-209 311)|04-5155
VERIBEN GRANULES FOR INJECTION|DIMINAZENE DIACETURATE
1.05G& 10.5G|CEVA SANTE ANIMALE LA BALLASTIERE- 33501 LIBOURNE CEDEX, FRANCE.|04-5231
DARAVIT (DAY TO DAY TONIC)|MULTIVATIMIN/MINERALS|ELDER PHARM LTD PLOT C-9 DALIA INDL ESTATE, OFF NEW LINK ROAD, ANDHERI(W), MUMBAI, 400 053 INDIA|04-5031
ELLANCIL INJECTION|BENZYLPENICILLIN SIDIUM 600MG|SHIJIAZHUANG NO 2 PHARM FACTORY 188, GONGNONG ROAD SHIJUAZHUANG HEBEI P.R. CHINA|04-5033
KAMBICOL|CHLORAMPHENICOL 1G|ARIES PHARMA LTD P.O. MIRA OPP. GOLDEN CHEMICALS, NEAR DAHISAR CHECK NAKA DIST THANE 4101104, INDIA.|04-5037
KANIFLOX|CIPROFLOXACIN 500MG|ARIES PHARMA LTD P.O. MIRA OPP. GOLDEN CHEMICALS, NEAR DAHISAR CHECK NAKA DIST THANE 4101104, INDIA|04-5038
KANILLIN|AMPICILLIN 1G|ARIES PHARMA LTD P.O. MIRA OPP. GOLDEN CHEMICALS NEAR DAHISAR CHECK NAKA DIST THANE 4101104, INDIA.|04-5040
KANILLIN|AMPICILLIN 250MG|ARIES PHARMA LTD P.O. MIRA OPP. GOLDEN CHEMICALS NEAR DAHISAR CHECK NAKA DIST THANE 4101104, INDIA.|04-5039
NKOYO AMPI-CLOXA|AMPICILLIN 250MG, CLOXACILLIN 250MG|GELNOVA LABORATORIES PVT LTD C-125 TTC INDUSTRIAL AREA MUMBAI 400705, INDIA|04-5036
SPICAIN INJECTION|PROCAINE PENICILLING 3G, BENZYLPENICILLIN 3.6G|SHIJIAZHUANG NO 2 PHARM FACTORY 188, GONGNONG ROAD SHIJUAZHUANG HEBEI P.R. CHINA|04-5032
ATRAFITS SUPER|ATRAZINE 800G/KG|HOCKLEY INT'L LTD, HOCKLEY HOUSE, STOCKPORT U.K|04-5238
ATTACKE 2.5 EC|LAMDA-CYHALOTHRIN 2.5%|NANJIANG NO. 1 PESTICIDE FACTORY OF REDSUN GROUP, NO. 269 BOATARD GAOCHUN TOWN NIANJING CHINA|04-5241
BON STAR|D-GLUCOSE 3.4G|SWISS PHARMA PVT. LTD 3709, GIDC PHASE IV VATVA, AHMEDABAD, INDIA.|04-5055
BRETRAZINE 80 WP|ATRAZINE 800KG/KG|ZHEJIANG CHANGXING ZHONGSHAN CHEMICAL INDUSTRY CO. LTD. NO. 4 BRIDGE CHENGBEI, CHANGXING ZHEJIANG CHINA.|04-5242
CAPTOPRIL|CAPTOPRL 50MG|ALPHARMA LTD BARNSTAPLE EX 32 8NS UK.|04-5050
COTSON|CHLORAMPHENICOL 250MG|ZHONGNUO PHARM (S.J.Z.) CO LTD, 47, FENGSHOU ROAD SHIJIAZHUANG, HEBEI P.R. CHINA|04-5025
GONAL-F|FOLLITROPIN 75IU|LABORATORIES SERONO, S.A|04-5042
HYDROCORTISONE|HYDROCORTISONE SODIUM SUCCINATE 100MG|EFFECHEM S.R.I. VIA SAM VITO 18-20123 MILAN ITALY|04-5045
IVYZOXAN EYE/EAR DROPS|CIPROFLOXACIN 0.3% W/V|IVEE AQUA EPZ LTD L.R. NO 18474/83 ATHI RIVER, NAIROBI, KENYA.|04-5049
KANLOX|AMPICILLIN 250MG CLOXACILLIN 250MG|SWISS PHARMA PVT. LTD 3709, GIDC PHASE IV VATVA AHMEDABAD 382 445 INDIA|04-5053
KARATE 2.5EC|LAMDA-CYHALOTHRIN 2.5%|SYNGENTA CROP PROTECTION A.G BASLE, SWITZERLAND|04-5240
LABOCOF|CHLORPHENIRAMINE 1MG DEXTROMETHORPHAN HYDROBROMIDE 10MG|LABORATE PHARM (INDIA) E-11 IND. AREA PANIPAT 132103 INDIA.|04-5059
MAKUPAR- 200|IBUPROFEN 200MG|HEALTHYLIFE PHARM PVT LTD N - 31/1 MIDC TARAPUR DIST THANE BOISAR- 401506, INDIA.|04-5024
MEGADYN|MULTIVITAMINS/MINERALS|SAI MIRA PHARM NIG LTD CHENNAI 600117 INDIA|04-5048
PERFUMED DOUBLE RABBIT MOSQUITO COILS RED|PRALLETHRIN 0.05%|SAME AS APPLICANT|04-5243
RAPIDFLOX|CIPROFLOXACIN 200MG/100ML|CIPLA LTD SP - 918 PHASE III BHIWADI, INDIA|04-5058
ROBB HEAT|METHISALICYIATE 15G|P.Z. GHANA 15, KWAME NKRUMAH AVENUE ACCRA, GHANA|04-5025
TRIAMAX|CETFRIAXONE 1G|MEDITECH KOREA PHARM CO. LTD 902/2 SANGSIN-LIHYANGNAM, KOREA|04-5057
TRIMOLE|TETRACYCLINE 250MG|ZHONGNUO PHARM (S.J.Z.) CO LTD NO. 47, FENGSHOU ROAD HEBEI CHINA|04-5052
SPIGIN INJECTION|METAMIZOLE SODIUM 2.5%/5ML|JINLINGPHARM (GROUP) CORP. ZHEJIANG TIANFENG PHARM FACTORY, NO 11, CHEZHAN ROAD CHINA|04-5034
BENAKAPRIN|BENZYLPENICILLIN SODIUM 600MG|SISHUI XIERKANG PHARM LTD NORTH SIHE ROAD SISHUI SHANDONG CHINA|04-5051
SAMBEZOLE "Y" SUSPENSION|ALBENDAZOLE 25MG|SAME AS APPLICANT|04-5235
KARATE 5 EC|LAMDA-CYHALOTHRIN 5%|SYNGENTA CROP PROTECTION A.G BASLE, SWITZERLAND.|04-5239
GRAMOXONE SUPER|PARAQUAT DICHLORIDE 276G/L|SYNGENTA CROP PROTECTION AG BASLE, SWITZERLAND|04-5237
RHONIL 360EC|PROPANIL 360G/L|OXON-ITALIA, SPA A-20016, PERO (M) MILAN|04-5236
NKOYO MULTIVITAMIN|MULTIVITAMINS|GELNOVA LABORATORIES PVT LTD C-125 TTC INDUSTRIAL AREA MUMBAI 400705, INDIA|04-5035
MOBIL? INSECTICIDE|NEO-PYNAMIN 0.25%,PRALLETHRIN 0.04%,CYPHENOTHRIN 0.05%( FORMERLYTETRAMETHRINE 0.20% PHENOTHRINE 0.12%  ALLETHRINE 0.25%)|SAME AS APPLICANT|04-5244
PRIMOLUT-N TABLET|NORETHISTERONE 5MG|SCHERING AG PHARMACEUTICAL DIVISION FEDERAL REPUBLIC OF GERMANY|04-5047
NOVOGOLD CAPLET (POM)|CYPROHEPTADINE HYDROCHLORIDE BP 4MG|MANCARE PHARMACEUTICALS PVT. LTD. PLOT NO 60, DHOWALI VILLAGE, VASAI MUNICIPAL IND. ESTATE, VASAI (W)DIST - THANE.(FORMERLY SWISS PHARMA PVT. LTD 3709, GIDC PHASE IV VATVA AHMEDABAD, INDIA)|04-5056
ASKASUNATE TABLET|ARTESUNATE 50MG|NAXPAR LAB PVT LTD 120 MASAT IND. ESTATE SILVASSA 396-230 INDIA|04-5043
CEFTRIAXONE INJECTION (POM)|CEFTRIAXONE 1G|TEVA PHARMA 5, BASEL ST. PERAN TIRVA, ISRAEL.|04-5044
CHOCATON  MULTIVITAMIN SYRUP (OTC)|VIT A 5000IU,VIT B1 2.0MG,VIT B2 2.0MG,VIT B6 2.5MG,VIT B12 1MCG,CALCIUM PANTOTHENATE 1MG, NICOTINAMIDE 5MG,VIT C 50MG,VIT D3 400IU,VIT E 1.65MG|BCN PLC 22/23,CHIEF DOHERTY LAYOUT OREGUN,LAGOS (FORMERLY MIRREN (PTY) LTD 18, GOLDEN DRIVE MOREHILL, BENONI, SOUTH AFRICA.)|04-5041
VISCOPLEX FORTE|VITAMIN B COMPLEX|SKM PHARMA PVT LTD TF-10, CITY POINT, INFANTRR ROAD, BANGALORE- 560001, INDIA|04-5046
AVIMEC INJECTABLE|IVERMECTIN 10MG|ARAB VETERINARY INDUSTRIES CO. (AVICO) AMMAN 1115, JORDAN|04-5331
SUPER VIT. LAYER/BREEDER|MULTIVITAMINS|LOHMANN ANIMAL HEALTH GMBH & CO. K.G. HEINZ-LOHMANN STRESSE 4,27454 CUXHAVEN, GERMANY|04-5334
TOTAL OXYTETRCYCLINE HCL 5%|OXYTETRACYCLINE HCL- 50MG|SIEMEN LAB. PVT. LTD. 59, I.D.C MEHRAULI RD. GURGEON INDIA|04-5333
VERMITH II BOLUS|TETRAMISOLE HCL 2000MG|STAR LABORATORIES PVC LTD. 23-KM, MULTAN RD. LAHOLE PAKISTAN|04-5335
OXY VETRA L.A|OXYTETRACYCLINE DIHYDRATE 20%|SHANGHAI GONGVI VETERINARY MEDICINE PLANT XIAOTIANG TOWN FENGXIAN COUNTY SHANGAI P.R CHINA.|04-5337
ASTHANAX -F|THEOPHYLINE 100MG SALBUTAMOL 2MG|NAXPAR LAB PVT LTD 120, MASAT IND EST. SILVASSA-396 230, INDIA|04-5061
CELLOVITE-E|MULTIVITAMIN/MINERALS|GUJARAT LIQUI PHARMACAPS PVT LTD PLOT 662 666 GIDC WAGHODIA VADODARA INDIA.|04-5077
CENTRADOL|TRAMADOL HYDROCHLORIDE 100MG|TABLETS INDIA LTD 179 TH ROAD MADRAS, 600 081 INDIA|04-5076
EURODINE|CYPROHEPTADINE HCL 4MG|UNIBROS LAB LTD PLT C/2 47/2 DEWAN AND SON'S ESTATE MANOR RD VILLAGE VEOOR TAL- PALGHAR DIST THANE INDIA|04-5028
KALMYCIN|GENTAMYCIN 80MG/2ML|KILITCH DRUGS (INDIA) LTD C- 301/2 MIDC TTRC, IND. AREA, PAWANE VILLAGE THANE INDIA|04-5066
MAXIBU|PARACETAMOL 500MG IBUPROFEN 200MG CAFFEINE 30MG|MAXHEAL PHARM 103, TULSI NIWAS JOGESHWARI (W) MUMBAI, INDIA.|04-5074
MEXOL-C|OMEPRAZOL 20MG|LABORATE PHARM (INDIA) E-11 IND, AREA, PANIPAT - 132103 INDIA.|04-5068
NELLYCINE|GENTAMICIN SULPHATE 80MG/2ML|SISHUI XIERKANG PHARM CO LTD NORTH OF SIHE, SISHUI SHANDONG, CHINA|04-5069
PAMACLOX|AMPICILLIN 250MG CLOXACILLIN 250MG|MAXHEAL PHARM 103, TULSI NIWAS JOGESHWARI (W) INDIA.|04-5080
PEPTORAN|BENZYLPENICILLIN POTASSIUM 1G|SHIJIAZHUANG NO. 2 PHARM FACTORY NO 188, GONGNONG ROAD SHIJIAZHUANG HEBEI P.R. CHINA.|04-5027
PLIBEX|VITAMIN B COMPLEX|JINLING PHARM (GROUP) ZHEJIANG. TIANFENG PHARM FACTORY NO, 11 CHEZHAN ROAD, HUZHOU CITY ZHEJIANG, CHINA.|04-5029
PLIVIT - K3|VITAMIN K3|JINLING PHARM (GROUP) ZHEJIANG, TIANFENG PHARM FACTORY NO. 11 CHEZHAN ROAD, HUZHOU CITY ZHEJIANG. CHINA.|04-5030
PRIMOLUT DEPOT|HYDROXYPROGETERONE HEXANOATE 250MG/ML|SCHERING AG PHARMACEUTICAL DIVISION FEDERAL REPUBLIC OF GERMANY|04-5063
PRIMOTESTON DEPOT|TESTOSTERONE ENANTATE 250MG|SCHERING AG PHARMACEUTICAL DIVISION FEDERAL REPUBLIC OF GERMANY|04-5062
SANTRIAXONE|CEFTRIAXONE SODIUM 1G|SHANDONG REGOUNG PHARM CO LTD 6, ERLANGSHAN ROAD YIYUAN, SHANDONG, 256100 CHINA.|04-5060
STETAZOL|STREPTOMYCIN SULPHATE 5G|SHIJIAZHUANG NO. 2 PHARM FACTORY NO 188, GONGNONG ROAD SHIJIAZHUANG HEBEI P.R. CHINA.|04-5026
VARDAVITE -E|MULTIVITAMIN/MINERALS|VARDMAN EXPORTS 386A MODY EST LBS MARG GHATKOPAR (W) MUMBAI 400 086 INDIA|04-5078
ZETAX|CEFOTAXIME 1G|KILITCH DRUGS (INDIA) LTD C- 301/2 MIDC TTRC, IND. AREA, PAWANE VILLAGE THANE INDIA|04-5064
DIGOXIN TABLETS|DIGOXIN 0.25MG|ALPHARMA LTD BARNSTAPLE NORTH DEVON,EX 32 8NS|04-5072
NUEAGE CAPSULE (OTC)|MULTIVITAMIN/MINERALS|GUJARAT LIQUI PHARMACAPS PVT LTD PLOT 662 666 GIDC WAGHODIA VADODARA INDIA|04-5079
ONECEF|CEFTRAXINE 1G + LIDOCAINE|KILITCH DRUGS (INDIA) LTD C- 301/2 MIDC TTRC, IND. AREA, PAWANE VILLAGE THANE INDIA|04-5065
B-BEES  TABLET|VIT. B COMPLEX|AUROCHEM PHARM (I) PVT, LTD PALGHAR TALUKA IND COOP EST LTD.|04-5070
RECTONE TABLETS (OTC)|VIT A 2000 IU,VIT D3 200 IU,NICOTINAMIDE|SAME AS APPLICANT (FORMERLY OBOI LABS PVT LTD PRABHAT NAGAR, JOGESHWARI, MUMBAI- 400 102, INDIA(FORMERLY HEALTHY LIFE PHARMA PVT LTD N-31/1, MIDC,TARAPUR DIST THANE BOISAR 401506)|04-5071
J-GLOBIN SYRUP (POM)|MULTIVITAMIN/MINERALS|ALLY PHARM. OPTIONS PVT. LTD. J-7, MIDC, TARAPUR IND. AREA, BOISAR 401 506, DIST. THANE, MAHARASHTRA, INDIA (FROMERLY NAXPAR LAB PVT LTD 120, MASAT IND. ESTATE, DADRA & NAGAR HAVELLI, SILVASSA - 396 230, INDIA.|04-5067
JANIFEN|IBUPROFEN 400MG|STALLION LAB PVT LTD C-1B 305/2-3,GIDC KERALA (BAVL) AHMEDABAD,GUJARAT|04-5073
FEWEL 30|NICOTINAMIDE 15MG, VIT B6 1.5MG, VIT B2 1MG|GELNOVA LABS (I) PVT LTD C-125 TTC IND AREA MAHAPE NAVI MUMBAI, INDIA|04-5075
VOLTAREN|DICLOFENAC SODIUM 75MG/3ML|NOVARIS PHARMA AG BASLE, SWITZERLAND|04-0790
ALLPETS OXYTETRACYCLINE HCL 5%|OXYTETRACYCLINE HCL-50MG|SIEMEN LAB. PVT. LTD. 59, I.D.C MEHRAULI RD GURGEON INDIA.|04-5332
AMOXYSAN|AMOXYCILLIN SODIUM 500MG|SHANDONG REYOUNG PHARM CO LTD 6, ERLANGSHAN ROAD YIYUAN, SHANDONG, 256100 CHINA.|04-5081
ANTELOPE MOSQUITO COIL - RED|D-ALLENTHRIN- 0.2%|SAME AS APPLICANT|04-5342
AVIMEC|IVERMECTIN 10MG|ARAB VETERINARY INDUSTRIAL CO. (AVICO) AMMAN 1115, JORDAN|04-5331
AVINAZENE POWDER|DIMINAZENE ACETURATE 1050 MG|ARAB VETERINARY INDUSTRIAL CO. (AVICO) AMMAN 1115, JORDAN|04-5330
BON-SEAS|COD LIVER OIL 1000MG|GELNOVA LABS (I) PVT LTD C- 125 TTC IND AREA MAHAPE NAVI MUMBAI, INDIA.|04-5085
BON-SEAS|COD LIVER OIL 300MG|GELNOVA LABS (I) PVT LTD C- 125 TTC IND AREA MAHAPE NAVI MUMBAI, INDIA.|04-5084
CLEPESTS|DICHLORVOS 1000MG/L|HEFEI PESTICIDES FACTORY 254, ANHUI CHINA.|04-5340
EAGLE TYLOSIN 200|TYLOSIN TARTRATE - 200MG|EAGLE CHEMICAL LTD. 256-46, DEGOKRI, SHINAM-MYUN, YESAN-KUN, CHUNGCHONGNAM-DO KOREA.|04-5338
GLYBORAL|GLIBENCIAMIDE 5MG|U.S.V. LIMITED B.S.D. MARG GOVANDI MUMBAI 400088 INDIA|04-1221
ITRANOX|ITRACONAZOLE 100MG|HANMI PHARM CO. LTD 893-5 HAJERI-SI GYEONGGI-DO, KOREA.|04-5086
LEPONEX 100|COZAPINE 100MG|NOVARTIS PHARMA A.G. BASLE, SWITZERLAND|04-1597
LEVAMINTH 600
BOLUS|LEVAMISOLE HCL 600MG/ BOLUS|DRUGFIELD PHARMACEUTICALS LTD. LYNSON CHEMICAL AVENUE KM 38, LAGOS-ABEOKUTA EXPRESSWAY,
 SANGO-OTTA, OGUN|04-5339
LEXCOL 40MG|FLUVASTATIN 40MG|NOVARTIS FARMACEUTICA S.A. BARBERO DEL VALLES SPAIN|04-4440
OFLOMED|OFLOXACIN 200MG|BHARAT PARENTERALS LTD VILLAGE HARIPURA TA SAVLI (GUJARAT) INDIA.|04-3132
OFLOMED|OFLOXACIN 200MG|CIPLA LTD SP- 918 PHASE III BHIWADI, INDIA|04-5083
SAKURA EXTRA|PARACETAMOL 500MG CAFFEINE 30MG|PT. TEMPO SCAN PACIFIC GEDUND BINA MULIA JI H.R. RASURA INDONESIA.|04-5087
SANTRIAXONE|CEFTRIAXONE 500MG|SHANDONG REYOUNG PHARM CO LTD 6, ERLANGSHAN ROAD YIYUAN, SHANDONG, 256100 CHINA.|04-5082
SUPER VIT. LAYER/BREEDER|MULTIVITAMINS|LOHMANN ANIMAL HEALTH GMBH & CO. K.G HEINZ-LOHMANN STRESSE 4,27454 CUXHAVEN, GERMANY|04-5334
TEGRETOL|CARBAMAZEPINE 200MG|NOVARTIS FARMA SPA TORRE ANNUNZIATA ITALY.|04-0024
TOTAL CURE OXYTETRCYLINE HCL 5%|OXYTETRACYCLINE HCL- 50MG|SIEMEN LAB. PVT. LTD. 59. I.D.C MEHRAULI RD GURGEON INDIA.|04-5333
TOTAL INSECTICIDE|D-TETRAMETHRIN- 0.12%, PRALLETHRINE- 0.035%, DEILTAMETHRIN- 0.0063%, D-D- TRANSCYPERMETHRINE-0.05%|AEROCHIM B.P. 253 27320, BERNAY, CEDEX FRANCE.|04-5341
VOLTAREN|DICLOFENAC SODIUM 25MG|NOVARTIS PHARMA AG BASLE SWITZERLAND.|04-0415
VOLTAREN SR|DICLOFENAC SODIUM 75MG|NOVARTIS PHARMA AG BASLE SWITZERLAND|04-0764
ZITHROMAX|AZITHROMYCIN 250MG|PFIZER ITALIANA S.P.A LATINA, ITALY|04-1388
SPICYCLINE|TETRACYLINE 250MG|YANGZHOU NO 3 PHARM & CO LTD YILING INDUSTRY GARGEN EAST OF YANGZHOU CHINA.|04-4178
VERMOX|MEBANDAZOLE 500MG|JANSSEN-CILAG SPA V.C. JANSSEN BORGO S MICHELLE-04010 LATINA ITALY.|04-1682
ZITHROMAX|AZITHROMYCIN 200MG/5ML|PFIZER ITALIANA S.P.A LATINA, ITALY|04-1387
BRINERDIN|DIHYDROERGOCRISTINE 0.5MG CLOPAMIDE 5MG, RESERPINE 0.1MG|NOVARTIS FARMA S.P.A TORRE ANNUNZIATA, ITALY|04-0199
LAMISIL|TERBINAFINE 250MG|NOVARTIS PHARM UK LTD. GREAT BRITAIN(TRANSFER OF AGENCYSHIP)|04-0815
LESCOL CAPSULE 20MG|FLUVASTATIN 20MG|NOVARTIS FARMACEUTICA S.A. BARBERO DEI VALLES SPAIN.|04-1111
SLOW-K|POTASSIUM CHLORIDE 600MG|NOVARTIS PHARMACEUTICALS UK LTD, WIMBLEHURST ROAD, HORSHAM, WEST SUSSEX, UK RHI 25AB|04-0031
LEPONEX 25|CLOZAPINE 25MG|NOVARTIS PHARMA A.G BASLE, SWITZERLAND.|04-1597
OXY VETRA INJECTION SOLUTION|OXYTETRACYLINE HCL 5% (50MG/ML)|SHANGHAI GONGVI VETERINARY MEDICINE PLANT XIANOTIANG TOWN FENGXIAN COUNTY SHANGAI P.R CHINA.|04-5336
APRESOLINE|HYDRAIAZINE HYDROCHLORIDE 25MG|NOVARTIS PHARMA AG BASLE SWITZERLAND|04-0027
APRESOLINE|HYDRAIAZINE HYDROCHLORIDE 20MG|NOVARTIS PHARMA AG BASLE SWITZERLAND|04-0029
CATAFLAM|DICLOFENAC 50MG|NOVARTIS PHARMA AG BASLE SWITZERLAND|04-0025
COARTEM TABLET (OTC)|ARTEMETER 20MG LUMEFANTRINE (120MG)|NOVARTIS PHARMA AG BASLR SWITZERLAND|04-3275
TEGRETOL CR 400 TABLET|CARBAMAZEPINE 200MG|NORVATIS FARMA S.P.A. VIA PRONVINCIALE SCHITO 131-80058, TORRE, ANNUNZIATA, ITALY..|04-2252
TEGRETOL CR TABLETS|CARBAMEZEPINE 200MG|NOVARTIS FARMA SPA TORRE ANNUNZIATA ITALY.|04-0037
VOLTAREN|DICLOFENAC SODIUM 100MG|NOVARTIS PHARMA AG BASLE SWITZERLAND|04-0033
NORVASC|AMLODIPINE 10MG|HEINRICH MACK NACHF GMBH, & CO. KG, ILLERTISSEN, GERMANY|04-5354
DR KIM'S FOLIC ACID TABLETS|FOLIC ACID 5MG|SAME AS APPLICANT|04-5249
EMMOX POWDER FOR ORAL SUSPENSION|AMOXICILLIN 125MG/5ML|EMZOR PHARM IND. LTD PLOT 3C, BLK A, ASWANI MARKET RD., ISOLO, LAGOS|04-5251
ITCHCARE CREAM|MICONAZOLE 2%W/W, METRONIDAZOLE 2%|SAME AS APPLICANT|04-5254
NEMEL TOP CEE VITAMIN C TABLETS|ASCORBIC ACID 100MG|SAME AS APPLICANT|04-5250
NEW PHENSIC TABLETS|ACETYL SALICYLIC ACID 375MG, CAFFEINE 25MG|SAME AS APPLICANT|04-0184
STOPCOLD SYRUP FOR CHILDREN|CHLOPHENIRAMINE MALEATE 1MG, VITAMIN C 25MG/5ML|SAME AS APPLICANT|04-5246
RICO CHLOROQUINE SYRUP|CHLOROQUINE PHOSPHATE 80MG/5ML|SAME AS APPLICANT|04-5245
ASCO-J-500 VITAMIN C TABLETS|ASCORBIC ACID 500MG|SAME AS APPLICANT|04-5248
DR MEYER'S MAXIQUINE ( 3 IN 1) SYRUP|CHLOROQUINE PHOSPHATE 80MG, PARACETAMOL 100MG, PROMETHAZINE 3MG/5ML|SAME AS APPLICANT|04-5253
FAITH CO-TRIMOXAZOLE SUSPENSION (OTC)|SULPHAMETHOXAZOLE 200MG, TRIMETHOPRIM 40MG/5ML|SAME AS APPLICANT|04-5252
ORFEGYL TABLETS|METRONIDAZOLE 200MG|SAME AS APPLICANT
(FORMERLY MANUFACTURED BY MEDAC PHARMACEUTICALS LTD, OYO PLANNING AUTHORITY LAYOUT, PLOT 1-9, BLOCK 19, ABOJUPA SCHEME, OYO STATE)|04-5255
AMPICILLIN POWDER FOR ORAL SUSPENSION|AMPICILLIN 125MG/5ML|FOOD AND PHARMA NIG LTD. 6, IJORA CAUSE WAY, IJORA LAGOS|04-5256
RHOGAM ULTRA FILTERED 300MG|RHO (D) IMMUNE GLOBULIN|ORTHO CLINICAL DIAGNOSTIC INC, OF 1001 US HIGHWAY 202, RARITAN, NEW JERSEY 08869-0606.|04-4885
CENTRA WHITFIELD OINTMENT|BENZOIC ACID 6%W/W, SALICYLIC ACID 3%W/W|SAME AS APPLICANT|04-5258
CHLORPHENIRAMINE TABLETS|CHLORPHENIRAMINE MALEATE 4MG|SAME AS APPLICANT|04-5261
GAWO ASPIRIN TABLETS( RENEWAL)|ACETYLSALICYLIC ACID 300MG|SAME AS APPLICANT|04-1175
GLUFORMIN TABLET|METFORMIN HYDROCHLORIDE 100MG|SAME AS APPLICANT|04-5260
LIQUID QUININE|QUININE HYDROCHLORIDE 100MG/5ML|SAME AS APPLICANT|04-5277
MONTAVIT MULTIVITAMIN SYRUP|VIT B 1 1.5MG, VIT B2 1MG, VIT B 12 2.5MCG, VIT B6 1MG, VIT C 20MG, VIT A 1000IU, VIT D 200IU, NICOTINAMIDE 10MG/5ML|SAME AS APPLICANT|04-1309
NEOBACIN POWDER|NEOMYCIN 5MG/G, ZINC BACITRACIN  250IU/G|SAME AS APPLICANT|04-5259
OSINEX COUGH SYRUP|CHLORPHENIRAMINE MALEATE 1MG, PHENYLEPHERINE 5MG/5ML|SAME AS APPLICANT|04-0085
PENICILLIN OINTMENT|PENICILLIN 10,000IU|SAME AS APPLICANT|04-1447
PHARMADEC MULTIVITAMIN DROP X 15ML|VIT C 50MG, VIT B6 0.5MG, VIT B2 0.4MG|SAME AS APPLICANT|04-0773
STAN CO-TRIMOXAZOLE PAED. SUSPENSION|SULPHAMETHOXAZOLE 200MG, TRIMETHOPRIM 40MG/5ML|SAME AS APPLICANT|04-5257
VITAMIN B CO TABLETS|VIT B1 0.5MG, VIT B12 1MCG, NICOTINAMIDE 3MG|SAME AS APPLICANT|04-5261
VITAMIN C TABLET|ASCORBIC ACID 100MG|SAME AS APPLICANT|04-1179
BENCHAMPI-500 CAPSULES X 10 X 10'S|AMPICILLIN 500MG|VILCO LAB PVT LTD 290, CHITRA BHAVNAGAR, GUJARAT INDIA|04-5402
BENCHCLOX-500 CAPSULES X 10X 10'S|AMPICILLIN 250MG, CLOXACILLIN 250MG|VILCO LAB PVT LTD 290, CHITRA BHAVNAGAR, GUJARAT INDIA|04-5403
